Value, Count, single price, total, References
"0.1pF",5,0,0,"R505" "R701" "R702" "R810" "R811" 
"0R",2,0,0,"R704" "R705" 
"0R1",1,0,0,"R508" 
"100R",16,0,0,"R207" "R205" "R206" "R204" "R203" "R305" "R512" "R513" "R601" "R602" "R603" "R604" "R818" "R819" "R823" "R824" 
"100k",9,0,0,"R304" "R401" "R511" "R808" "R803" "R801" "R805" "R807" "R813" 
"100nF",17,0,0,"C202" "C201" "C205" "C204" "C309" "C306" "C502" "C505" "C509" "C601" "C608" "C805" "C807" "C801" "C810" "C806" "C809" 
"100µH",1,0,0,"L402" 
"10R",1,0,0,"R504" 
"10nF",7,0,0,"C310" "C504" "C506" "C507" "C511" "C508" "C510" 
"10µF",17,0,0,"C402" "C404" "C401" "C405" "C701" "C702" "C703" "C704" "C705" "C803" "C812" "C813" "C814" "C815" "C818" "C808" "C811" 
"1k",35,0,0,"R201" "R202" "R307" "R306" "R308" "R309" "R506" "R502" "R509" "R507" "R510" "R501" "R605" "R606" "R703" "R812" "R816" "R815" "R814" "R802" "R804" "R806" "R809" "R820" "R821" "R830" "R831" "R832" "R833" "R834" "R835" "R825" "R826" "R827" "R828" 
"1nF",16,0,0,"C203" "C301" "C302" "C304" "C305" "C307" "C308" "C513" "C514" "C515" "C606" "C607" "C817" "C820" "C802" "C804" 
"1µ6",1,0,0,"L303" 
"1µH",2,0,0,"L501" "L502" 
"220µF",3,0,0,"C501" "C819" "C816" 
"24k9",1,0,0,"R403" 
"330pF",3,0,0,"C311" "C503" "C512" 
"470µH",5,0,0,"L304" "L601" "L603" "L602" "L604" 
"47R",2,0,0,"R302" "R303" 
"4k99",1,0,0,"R402" 
"660nH",1,0,0,"L301" 
"68nF",4,0,0,"C602" "C603" "C605" "C604" 
"6n8",1,0,0,"C403" 
"74LVC1G3157",4,0,0,"U501" "U502" "U601" "U602" 
"7k87",3,0,0,"R301" "R404" "R822" 
"800nH",1,0,0,"L503" 
"824520141",1,0,0,"D401" 
"BA891",3,0,0,"D304" "D305" "D306" 
"BARREL_JACK",1,0,0,"CON401" 
"BAT54SL",18,0,0,"D301" "D302" "D303" "D801" "D803" "D804" "D805" "D806" "D807" "D809" "D812" "D810" "D823" "D819" "D820" "D822" "D821" "D818" 
"BCP56",1,0,0,"Q501" 
"BNC",1,0,0,"P301" 
"BOOT0JMPR",1,0,0,"P809" 
"BSS84",1,0,0,"Q801" 
"CONN_01X04",1,0,0,"P807" 
"CONN_01X08",1,0,0,"P806" 
"CONN_02X04",1,0,0,"P808" 
"FILTER",7,0,0,"FB401" "FB402" "FB501" "FB502" "FB802" "FB803" "FB801" 
"HANDSFREE",1,0,0,"J801" 
"HEADPHONES",1,0,0,"J803" 
"IRL510",1,0,0,"Q502" 
"MCP6L02",1,0,0,"U702" 
"MIC5365",1,0,0,"U201" 
"MSP3V3",2,0,0,"D402" "D814" 
"NCP3170-D",1,0,0,"U401" 
"PMEG6020EP",1,0,0,"D802" 
"PROG",1,0,0,"P804" 
"RED",1,0,0,"D501" 
"RESET",1,0,0,"SW807" 
"RNG_PINS",1,0,0,"P805" 
"SI5351A",1,0,0,"U202" 
"STM32F401",1,0,0,"U801" 
"SW",3,0,0,"SW802" "SW803" "SW804" 
"SW_PUSH",1,0,0,"SW801" 
"TCXO 26MHz",1,0,0,"OSC201" 
"TEST_1P",1,0,0,"W401" 
"TL972IDR",1,0,0,"U603" 
"TRANSFO",2,0,0,"T302" "T301" 
"TRANSFO2",2,0,0,"T501" "T601" 
"TX_SW_WIRE",1,0,0,"P801" 
"UART",1,0,0,"P803" 
"USB_OTG",1,0,0,"P802" 
"WM8731",2,0,0,"U701" "U802" 
"encoder",1,0,0,"SW806" 
"microphone",1,0,0,"J802" 
