Reference, Value, Footprint, Datasheet
"R207","100R","Resistors_SMD:R_0805_HandSoldering",""
"R205","100R","Resistors_SMD:R_0805_HandSoldering",""
"R206","100R","Resistors_SMD:R_0805_HandSoldering",""
"C202","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"C201","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"U201","MIC5365","TO_SOT_Packages_SMD:SOT-23-5",""
"OSC201","TCXO 26MHz","dodekaedri:TCXO_1.5x2mm",""
"R201","1k","Resistors_SMD:R_0805_HandSoldering",""
"R202","1k","Resistors_SMD:R_0805_HandSoldering",""
"C203","1nF","Capacitors_SMD:C_0805_HandSoldering",""
"C205","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"C204","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"U202","SI5351A","Housings_SSOP:MSOP-10_3x3mm_Pitch0.5mm",""
"R204","100R","Resistors_SMD:R_0805_HandSoldering",""
"R203","100R","Resistors_SMD:R_0805_HandSoldering",""
"P301","BNC","dodekaedri:BNC_right_angle",""
"C301","1nF","Capacitors_SMD:C_0805_HandSoldering",""
"C302","1nF","Capacitors_SMD:C_0805_HandSoldering",""
"L301","660nH","Air_Coils_SML_NEOSID:Neosid_Air-Coil_SML_5turn_HDM0531A",""
"C304","1nF","Capacitors_SMD:C_0805_HandSoldering",""
"C305","1nF","Capacitors_SMD:C_0805_HandSoldering",""
"R302","47R","Resistors_SMD:R_0805_HandSoldering",""
"R303","47R","Resistors_SMD:R_0805_HandSoldering",""
"R301","7k87","Resistors_SMD:R_0805_HandSoldering",""
"D301","BAT54SL","dodekaedri:SOT-23_HS_2-1-3",""
"D302","BAT54SL","dodekaedri:SOT-23_HS_2-1-3",""
"D303","BAT54SL","dodekaedri:SOT-23_HS_2-1-3",""
"C307","1nF","Capacitors_SMD:C_0805_HandSoldering",""
"C308","1nF","Capacitors_SMD:C_0805_HandSoldering",""
"C309","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"C306","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"L303","1µ6","Air_Coils_SML_NEOSID:Neosid_Air-Coil_SML_5turn_HDM0531A",""
"D304","BA891","Diodes_SMD:SOD-523",""
"R304","100k","Resistors_SMD:R_0805_HandSoldering",""
"C311","330pF","Capacitors_SMD:C_0805_HandSoldering",""
"D305","BA891","Diodes_SMD:SOD-523",""
"R305","100R","Resistors_SMD:R_0805_HandSoldering",""
"C310","10nF","Capacitors_SMD:C_0805_HandSoldering",""
"L304","470µH","dodekaedri:SMT_1007",""
"D306","BA891","Diodes_SMD:SOD-523",""
"T302","TRANSFO","dodekaedri:TRANSF_pads",""
"T301","TRANSFO","dodekaedri:TRANSF_pads",""
"R307","1k","Resistors_SMD:R_0805_HandSoldering",""
"R306","1k","Resistors_SMD:R_0805_HandSoldering",""
"R308","1k","Resistors_SMD:R_0805_HandSoldering",""
"R309","1k","Resistors_SMD:R_0805_HandSoldering",""
"U401","NCP3170-D","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"C403","6n8","Capacitors_SMD:C_0805_HandSoldering",""
"C402","10µF","Capacitors_SMD:C_0805_HandSoldering",""
